Doc_id,Clean_text,Sentiments
69,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,Negative
70,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,Neutral
71,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,Neutral
72,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,Neutral
73,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,Negative
74,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,Positive
75,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,Positive
76,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,Positive
77,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,Neutral
78,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,Negative
79,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,Neutral
80,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,Negative
81,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,Neutral
82,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,Neutral
83,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,Negative
84,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,Negative
85,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,Positive
86,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,Positive
87,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,Positive
88,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,Neutral
89,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,Neutral
90,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,Neutral
91,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,Negative
92,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,Positive
93,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,Positive
94,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,Positive
95,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,Neutral
96,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,Negative
97,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,Negative
98,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,Negative
99,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,Negative
100,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,Neutral
,,
101,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
102,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
103,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
104,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
105,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
106,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
107,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
108,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
109,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
110,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
111,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
112,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
113,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
114,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
115,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
116,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
117,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
118,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
119,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
120,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
121,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
122,bought laptop personal home mainly internet searching surfing using microsoft office many hour machine yet bought configured extra ram ssd fast boot speedy quiet operation overall machine seems boot quick run fast one negative dell loud fan cycle optical drive wonder chip set generate enough heat make fan run,
123,came poorly packed usable screen dark even highest setting ten minute error message hard drive need scanned error scan completed showed multiple system error asked replacement day ago return approved still processed daughter need laptop school nothing spending,
124,purchased laptop collegebound engineering student price good like dell another inspiron ssd one also hard drive surprised loud fan would still recommend laptop,
125,run really fast turn back lit keyboard nice screen plenty port dvd drive shuts quick one silver instead black heat computer nice sized screen comfortable,
126,great laptop fast quiet sure people say fan load can't hear anything reason gave star phone dell two hour trying resolve hard drive issue tb showing laptop several transfer dell right person able activate tb drive everything else working order,
127,far look best laptop ever owned fast using solid state drive tb hdd storage description say optical drive mine came dvdrw drive receive wrong model negative port small negative,
128,scammed money dell dishonest incompetent laptop pc manufacturer whole world week i'd bought amazon fan started noisy could heard house could stopped way one month gone could longer return lemon called dell took pc changed fan surprise hour truck noise fan returned even louder wanna throw bird window curse dell people thief stolen hardearned money shame amazon taking lemon back scammed money may god annihilate dell amazon,
129,looking replace year old laptop seen better daysi looked month add one list matched dimension old laptop upgrade minus stuff don't need anymore like everyone else pleased new laptop issue tag matching software showing called dell see issue agent informed laptop upgrade authorized vendor forgot update tag show it's upgraded agent proceeded tell upgrade bumped cost unit higher base unit went dell website price right got way paid complaint unit aside battery life,
130,bought computer looking computer wife ssd least gb ram least processor also wife feel comfortable working windowsthis one good balance price spec look lot like macbook pro feel little fragile mac also liked one full keyboard including number keypadthe touchscreen thing like laptop something feel useless doesn't respond well modern cellphone doeswe looking laptop ssd one also internal hdd tb useful storing data critical access something nice found,
131,software developer using memory intensive program needed upgrade extremely happy machine second came box boot speed incredible ssd timed bootup completely second running data heavy node application heavy development server vscode spotify tab google chrome thing isn't even breaking sweat mentioned program i'm still using little le half memory barely utilizing cpu ton research absolute best bang buck could find would buy heartbeatonly flaw screen okay wasn't buying machine screen seen laptop price range better displayswhy thing touchscreen literally need,
